Timestamp,DeviceID,SensorID,Speed,Pressure,Temperature,Latitude,Longitude,Wear,Status,Obs_Obj,Collision,Type
2025-05-01 08:00:00,TT125,SID014,33.3,1595.0,168.0,13.084182,80.296312,0.173,Inactive,Vehicle,No,Sudden
2025-05-01 08:05:00,TT350,SID008,,1394.0,72.0,13.083459,80.285904,0.875,Inactive,Person,No,Sudden
2025-05-01 08:10:00,TT125,SID014,17.7,,62.0,13.079176,80.289781,0.21,Inactive,Person,No,Sudden
2025-05-01 08:15:00,TT125,SID014,1.6,1103.0,,13.093131,80.2941,0.127,Active,Signal,No,Planned
2025-05-01 08:20:00,TT125,SID014,39.1,1272.0,38.0,13.07907,80.283796,0.312,Active,Vehicle,No,Sudden
2025-05-01 08:25:00,TT350,SID008,23.7,1689.0,160.0,13.09326,80.287904,0.67,Inactive,Vehicle,No,Sudden
2025-05-01 08:30:00,TT350,SID008,1000.0,,107.0,13.090756,80.295186,0.511,Inactive,Vehicle,No,Sudden
2025-05-01 08:35:00,TT125,SID014,9.8,1175.0,192.0,13.093336,80.292239,0.792,Inactive,Vehicle,No,Sudden
2025-05-01 08:40:00,TT125,SID014,5.3,1583.0,77.0,13.090686,80.293476,0.743,Active,Signal,No,Planned
2025-05-01 08:45:00,TT350,SID008,,1505.0,32.0,13.078325,80.290707,0.495,Inactive,Vehicle,No,Sudden
2025-05-01 08:50:00,TT125,SID014,16.3,1376.0,142.0,13.077845,80.298097,0.519,Inactive,Vehicle,No,Sudden
2025-05-01 08:55:00,TT350,SID008,32.7,80000.0,98.0,13.090884,80.282846,0.886,Inactive,Person,No,Sudden
2025-05-01 09:00:00,TT350,SID008,5.6,1708.0,55.0,13.084477,80.291229,0.673,Active,Vehicle,No,Sudden
2025-05-01 09:05:00,TT125,SID014,1.0,1531.0,56.0,13.079823,80.285294,0.023,Inactive,Vehicle,No,Sudden
2025-05-01 09:10:00,TT125,SID014,38.2,40000.0,138.0,13.084073,80.285301,0.997,Inactive,Signal,No,Planned
2025-05-01 09:15:00,TT350,SID008,7.1,1408.0,81.0,13.083822,80.284505,0.799,Inactive,Vehicle,No,Sudden
2025-05-01 09:20:00,TT125,SID014,12.8,1270.0,44.0,13.086602,80.289844,0.047,Active,Person,No,Sudden
2025-05-01 09:25:00,TT350,SID008,6.1,1414.0,139.0,13.075495,80.283952,0.976,Active,Person,No,Sudden
2025-05-01 09:30:00,TT125,SID014,0.3,1748.0,191.0,13.080637,80.290982,0.663,Active,Vehicle,No,Sudden
2025-05-01 09:35:00,TT125,SID014,3.2,1330.0,100.0,13.080794,80.294743,0.815,Inactive,Person,No,Sudden
2025-05-01 09:40:00,TT350,SID008,5.8,1592.0,191.0,13.075435,80.294651,0.17,Inactive,Person,No,Sudden
2025-05-01 09:45:00,TT350,SID008,6.6,1149.0,71.0,13.076492,80.283404,0.456,Inactive,Vehicle,No,Sudden
2025-05-01 09:50:00,TT350,SID008,16.6,1596.0,112.0,13.082394,80.295606,0.993,Active,Person,No,Sudden
2025-05-01 09:55:00,TT350,SID008,25.3,1614.0,64.0,13.076875,80.288107,0.115,Active,Vehicle,No,Sudden
2025-05-01 10:00:00,TT125,SID014,28.1,1736.0,52.0,13.086359,80.293018,0.116,Active,Signal,No,Planned
2025-05-01 10:05:00,TT125,SID014,34.4,1410.0,41.0,13.080897,80.281203,0.15,Active,Person,No,Sudden
2025-05-01 10:10:00,TT125,SID014,6.7,1435.0,57.0,13.086109,80.284588,0.877,Inactive,Signal,No,Planned
2025-05-01 10:15:00,TT350,SID008,35.0,1319.0,33.0,13.089348,80.294328,0.742,Inactive,Person,No,Sudden
2025-05-01 10:20:00,TT125,SID014,36.7,1503.0,36.0,13.079505,80.294324,0.464,Active,Vehicle,No,Sudden
2025-05-01 10:25:00,TT125,SID014,15.0,1596.0,64.0,13.086287,80.294029,0.425,Active,Signal,No,Planned
2025-05-01 10:30:00,TT125,SID014,28.3,1861.0,185.0,13.085248,80.291805,0.013,Active,Signal,No,Planned
2025-05-01 10:35:00,TT125,SID014,25.9,1012.0,59.0,13.089035,80.297788,0.152,Inactive,Signal,No,Planned
2025-05-01 10:40:00,TT350,SID008,19.9,1712.0,152.0,13.089617,80.294912,0.59,Active,Person,No,Sudden
2025-05-01 10:45:00,TT125,SID014,21.0,1839.0,193.0,13.091322,80.286664,0.644,Inactive,Signal,No,Planned
2025-05-01 10:50:00,TT125,SID014,18.2,1599.0,75.0,13.076972,80.293014,0.502,Active,Signal,No,Planned
2025-05-01 10:55:00,TT350,SID008,0.2,1062.0,197.0,13.087136,80.293822,0.273,Active,Signal,No,Planned
2025-05-01 11:00:00,TT350,SID008,12.1,1593.0,45.0,13.07703,80.287406,0.546,Active,Person,No,Sudden
2025-05-01 11:05:00,TT350,SID008,2.4,1612.0,171.0,13.079263,80.28503,0.776,Active,Vehicle,No,Sudden
2025-05-01 11:10:00,TT125,SID014,11.8,1025.0,65.0,13.085798,80.291719,0.702,Inactive,Vehicle,No,Sudden
2025-05-01 11:15:00,TT350,SID008,1.5,1298.0,75.0,13.078456,80.283018,0.451,Inactive,Person,No,Sudden
2025-05-01 11:20:00,TT350,SID008,11.3,1210.0,84.0,13.078969,80.282512,0.31,Inactive,Signal,No,Planned
2025-05-01 11:25:00,TT125,SID014,36.2,1871.0,60.0,13.084529,80.291358,0.669,Inactive,Vehicle,No,Sudden
2025-05-01 11:30:00,TT350,SID008,29.0,1017.0,182.0,13.078265,80.284389,0.623,Active,Person,No,Sudden
2025-05-01 11:35:00,TT125,SID014,30.0,1497.0,133.0,13.075613,80.288222,0.989,Active,Signal,No,Planned
2025-05-01 11:40:00,TT125,SID014,19.4,1638.0,197.0,13.081594,80.283511,0.931,Inactive,Signal,No,Planned
2025-05-01 11:45:00,TT125,SID014,24.6,1347.0,127.0,13.076485,80.282678,0.256,Active,Signal,No,Planned
2025-05-01 11:50:00,TT350,SID008,39.6,1089.0,147.0,13.076747,80.284884,0.301,Active,Person,No,Sudden
2025-05-01 11:55:00,TT125,SID014,20.6,1385.0,147.0,13.076069,80.281264,0.046,Inactive,Signal,No,Planned
2025-05-01 12:00:00,TT125,SID014,21.6,1822.0,161.0,13.091706,80.285652,0.019,Inactive,Person,No,Sudden
2025-05-01 12:05:00,TT350,SID008,16.2,1243.0,83.0,13.082821,80.281187,0.491,Active,Signal,No,Planned
2025-05-01 12:10:00,TT350,SID008,33.9,1665.0,164.0,13.092131,80.297867,0.914,Inactive,Person,No,Sudden
2025-05-01 12:15:00,TT350,SID008,3.4,1224.0,35.0,13.080075,80.297892,0.78,Inactive,Vehicle,No,Sudden
2025-05-01 12:20:00,TT125,SID014,27.9,1362.0,102.0,13.08919,80.283078,0.557,Inactive,Vehicle,No,Sudden
2025-05-01 12:25:00,TT125,SID014,9.0,1328.0,94.0,13.088204,80.281943,0.354,Active,Signal,No,Planned
2025-05-01 12:30:00,TT350,SID008,35.8,1803.0,172.0,13.086071,80.286875,0.339,Active,Vehicle,No,Sudden
2025-05-01 12:35:00,TT125,SID014,3.0,1788.0,197.0,13.076979,80.282228,0.911,Inactive,Signal,No,Planned
2025-05-01 12:40:00,TT125,SID014,12.9,1186.0,94.0,13.091773,80.290362,0.951,Active,Vehicle,No,Sudden
2025-05-01 12:45:00,TT125,SID014,33.7,1701.0,80.0,13.079298,80.285575,0.114,Active,Vehicle,No,Sudden
2025-05-01 12:50:00,TT350,SID008,17.1,1795.0,107.0,13.081099,80.29558,0.685,Active,Person,No,Sudden
2025-05-01 12:55:00,TT125,SID014,32.1,1342.0,195.0,13.090889,80.292957,0.767,Active,Signal,No,Planned
2025-05-01 13:00:00,TT350,SID008,4.9,1689.0,199.0,13.080149,80.29804,0.931,Active,Person,No,Sudden
2025-05-01 13:05:00,TT350,SID008,34.0,1833.0,54.0,13.091908,80.292756,0.727,Active,Vehicle,No,Sudden
2025-05-01 13:10:00,TT350,SID008,29.3,1993.0,63.0,13.090416,80.287369,0.877,Active,Signal,No,Planned
2025-05-01 13:15:00,TT125,SID014,0.7,1341.0,112.0,13.091043,80.294372,0.717,Inactive,Person,No,Sudden
2025-05-01 13:20:00,TT125,SID014,39.8,1011.0,121.0,13.081787,80.298127,0.978,Active,Signal,No,Planned
2025-05-01 13:25:00,TT125,SID014,30.0,1711.0,176.0,13.082617,80.290684,0.596,Active,Vehicle,No,Sudden
2025-05-01 13:30:00,TT125,SID014,1.1,1531.0,158.0,13.080751,80.296654,0.494,Inactive,Signal,No,Planned
2025-05-01 13:35:00,TT350,SID008,26.5,1007.0,189.0,13.088098,80.293907,0.726,Inactive,Vehicle,No,Sudden
2025-05-01 13:40:00,TT125,SID014,7.2,1391.0,55.0,13.088735,80.282647,0.917,Active,Vehicle,No,Sudden
2025-05-01 13:45:00,TT125,SID014,10.5,1220.0,98.0,13.092161,80.286767,0.804,Inactive,Signal,No,Planned
2025-05-01 13:50:00,TT350,SID008,36.5,1261.0,80.0,13.090864,80.293509,0.357,Inactive,Person,No,Sudden
2025-05-01 13:55:00,TT350,SID008,12.0,1311.0,92.0,13.090136,80.289424,0.197,Active,Vehicle,No,Sudden
2025-05-01 14:00:00,TT350,SID008,15.9,1920.0,148.0,13.089038,80.282554,0.352,Active,Signal,No,Planned
2025-05-01 14:05:00,TT350,SID008,10.5,1715.0,88.0,13.083304,80.288064,0.765,Inactive,Person,No,Sudden
2025-05-01 14:10:00,TT125,SID014,37.8,1229.0,86.0,13.077179,80.283302,0.125,Inactive,Person,No,Sudden
2025-05-01 14:15:00,TT125,SID014,26.9,1956.0,42.0,13.09065,80.29472,0.973,Active,Signal,No,Planned
2025-05-01 14:20:00,TT125,SID014,38.9,1890.0,152.0,13.092266,80.290637,0.096,Inactive,Person,No,Sudden
2025-05-01 14:25:00,TT350,SID008,23.0,1472.0,196.0,13.077704,80.289624,0.953,Inactive,Signal,No,Planned
2025-05-01 14:30:00,TT125,SID014,0.7,1822.0,69.0,13.078862,80.298436,0.857,Inactive,Signal,No,Planned
2025-05-01 14:35:00,TT350,SID008,32.0,1116.0,50.0,13.08883,80.295375,0.956,Active,Person,No,Sudden
2025-05-01 14:40:00,TT125,SID014,38.4,1869.0,142.0,13.092423,80.285191,0.568,Active,Vehicle,No,Sudden
2025-05-01 14:45:00,TT125,SID014,35.6,1470.0,199.0,13.078164,80.283089,0.76,Active,Vehicle,No,Sudden
2025-05-01 14:50:00,TT125,SID014,36.1,1725.0,112.0,13.088231,80.2884,0.11,Inactive,Vehicle,No,Sudden
2025-05-01 14:55:00,TT350,SID008,7.7,1484.0,53.0,13.080446,80.286812,0.335,Inactive,Signal,No,Planned
2025-05-01 15:00:00,TT350,SID008,11.1,1473.0,183.0,13.090496,80.286279,0.84,Inactive,Person,No,Sudden
2025-05-01 15:05:00,TT125,SID014,39.0,1375.0,53.0,13.089481,80.295576,0.879,Active,Person,No,Sudden
2025-05-01 15:10:00,TT125,SID014,20.8,1758.0,159.0,13.076636,80.285101,0.04,Inactive,Person,No,Sudden
2025-05-01 15:15:00,TT350,SID008,19.4,1357.0,123.0,13.077953,80.281625,0.24,Inactive,Signal,No,Planned
2025-05-01 15:20:00,TT350,SID008,16.2,1038.0,189.0,13.081848,80.294558,0.938,Inactive,Vehicle,No,Sudden
2025-05-01 15:25:00,TT350,SID008,18.1,1336.0,36.0,13.080624,80.29636,0.58,Active,Signal,No,Planned
